MSOA11,AbsXSMeanM,AbsXSMedianM,AbsXSL95M,AbsXSU95M,PosteriorProbabilityM,RelXSMeanM,RelXSMedianM,RelXSL95M,RelXSU95M,M40plus,XSrateM,pcIncM,AbsXSMeanF,AbsXSMedianF,AbsXSL95f,AbsXSU95F,PosteriorProbabilityF,RelXSMeanF,RelXSMedianF,RelXSL95F,RelXSU95F,F40plus,XSrateF,pcIncF
E02001346,5.483172061,5.322484259,0.488268711,11.35487963,0.985675,1.703284959,1.658273356,1.050349511,2.616198747,1630,336.390924,70.32849594,2.933415087,2.750684142,-2.082083242,8.936222275,0.857525,1.357259059,1.310636096,0.800483452,2.177237939,1921,152.7025032,35.72590587
E02001347,6.284106185,6.094708386,1.06587714,12.51844643,0.992425,1.759611418,1.712186332,1.107046325,2.674062509,1791,350.8713671,75.96114183,6.240940314,6.051237292,-0.350653732,13.98352986,0.9673,1.688512509,1.640112646,0.969685791,2.698110192,1979,315.3582776,68.8512509
E02001348,3.89880992,3.724991912,-1.593474236,10.40543874,0.9076,1.418806449,1.369786888,0.866365684,2.234829379,1563,249.4440128,41.88064493,9.328898207,9.048223154,2.394394876,17.86433988,0.996925,2.236685532,2.144187621,1.242302145,3.74963705,1761,529.7500401,123.6685532
E02001349,1.653329129,1.566954837,-2.910970942,6.758226975,0.745425,1.203887717,1.17144218,0.738209983,1.867394703,1904,86.83451309,20.38877166,4.334394941,4.136869287,-1.220432625,11.04374782,0.929775,1.513681209,1.46183284,0.885879081,2.431518775,1972,219.7969037,51.36812094
E02001350,12.25713151,12.03169563,4.22015461,21.73988227,0.9993,2.028880511,1.977858015,1.289604005,3.055836554,1760,696.4279266,102.8880511,4.922889178,4.665421573,-4.201432646,15.47936231,0.84,1.258291598,1.229752258,0.821731808,1.865922579,2137,230.3644912,25.82915982
E02001351,5.185726836,5.012000388,-0.12374959,11.36464122,0.971825,1.545513972,1.511043019,0.989466588,2.296166145,2000,259.2863418,54.55139721,7.19219105,6.931368232,0.583022687,15.22841584,0.98485,1.741872089,1.689562489,1.048533169,2.734569974,2007,358.3553089,74.1872089
E02001352,3.745309203,3.620686606,-0.823982613,8.959091425,0.94345,1.538362406,1.491083417,0.909449112,2.432389997,1602,233.7895882,53.83624057,0.560229347,0.483470673,-2.944527099,4.503825005,0.6045,1.117942161,1.077867146,0.621100615,1.841682475,1532,36.5684952,11.79421611
E02001353,-0.071685262,-0.095155516,-3.375370197,3.26332479,0.47825,1.017119951,0.984766462,0.584264,1.62768981,1746,-4.105685112,1.711995132,-0.906045927,-0.954735589,-4.430711346,2.838824105,0.2947,0.8935105,0.85652382,0.484072936,1.519750123,2042,-44.37051552,-10.64894997
E02001354,2.288777048,2.174724146,-2.305843368,7.561857621,0.821025,1.258749822,1.228001354,0.793350543,1.897167135,1646,139.0508535,25.87498217,2.130867284,1.965789773,-2.158567808,7.385978084,0.813325,1.294949884,1.249501219,0.765385886,2.089600774,1900,112.1509097,29.49498839
E02001355,2.756551708,2.639987202,-1.849697445,8.079370274,0.867375,1.337885386,1.301633805,0.821620114,2.067521614,1544,178.5331417,33.78853857,1.495298701,1.371536688,-3.09676424,6.823208442,0.7165,1.211842583,1.167293388,0.69232013,1.993822008,1722,86.83500004,21.18425833
